日付,レース場,レース番号,締切予定時刻,ステータス,艇番,選手名,級別,支部,全国勝率,全国2連率,当地勝率,当地2連率,モーター番号,モーター2連率,ボート番号,ボート2連率,体重,年齢,進入
2025-04-09,江戸川,1,11:14,,1,鈴木猛,B1,東京,4.88,25.49,5.26,31.58,60,39.13,33,30.51,52.6,51,
2025-04-09,江戸川,1,11:14,,2,小林基樹,B1,山口,4.41,25.0,2.78,11.11,11,30.51,46,30.73,52.4,45,
2025-04-09,江戸川,1,11:14,,3,山下流心,B1,広島,4.26,18.29,5.3,20.0,69,25.56,20,31.37,54.5,32,
2025-04-09,江戸川,1,11:14,,4,河内一馬,B2,愛知,2.47,2.56,2.68,4.0,12,38.46,12,31.28,55.1,24,
2025-04-09,江戸川,1,11:14,,5,宇野博之,B1,愛知,4.53,26.85,4.16,23.68,14,30.17,11,33.9,55.2,45,
2025-04-09,江戸川,1,11:14,,6,山道諄也,B2,群馬,1.42,0.0,1.5,0.0,58,33.33,61,36.32,55.4,23,
2025-04-09,江戸川,2,11:41,,1,金子萌,A2,静岡,5.45,37.72,5.59,39.13,17,32.86,58,30.11,52.0,34,
2025-04-09,江戸川,2,11:41,,2,豊田祥生,B1,静岡,3.19,13.13,2.13,0.0,61,46.31,51,36.56,50.5,23,
2025-04-09,江戸川,2,11:41,,3,吉田和仁,B1,滋賀,4.61,26.97,6.56,44.44,22,35.44,45,33.7,55.8,41,
2025-04-09,江戸川,2,11:41,,4,黒田剛,B1,福岡,3.18,15.0,3.43,14.29,49,31.63,54,30.0,52.1,24,
2025-04-09,江戸川,2,11:41,,5,品田直樹,B1,東京,4.37,21.43,5.32,34.27,71,37.63,71,39.13,51.5,46,
2025-04-09,江戸川,2,11:41,,6,秦英悟,A2,大阪,6.86,51.16,3.8,20.0,54,36.32,28,32.5,52.0,39,
2025-04-09,江戸川,3,12:08,,1,倉富大誠,B2,愛知,4.13,22.02,3.52,16.13,38,30.95,52,40.0,52.0,23,
2025-04-09,江戸川,3,12:08,,2,吉田祐貴,B1,佐賀,3.78,14.71,4.2,20.0,51,43.5,18,32.14,54.5,39,
2025-04-09,江戸川,3,12:08,,3,石渡翔一郎,B1,東京,5.55,39.39,5.12,35.04,66,31.84,30,31.79,52.4,22,
2025-04-09,江戸川,3,12:08,,4,村松遥輝,B1,静岡,3.46,16.09,0.0,0.0,29,36.14,68,33.85,55.4,21,
2025-04-09,江戸川,3,12:08,,5,佐藤世那,B2,東京,2.63,5.56,3.24,5.88,70,32.24,69,31.58,53.0,19,
2025-04-09,江戸川,3,12:08,,6,平田健之佑,A1,三重,6.02,47.46,6.6,51.43,56,31.21,47,38.05,52.2,38,
2025-04-09,江戸川,4,12:35,,1,村上彰一,B1,福岡,4.7,22.39,4.46,27.03,65,26.23,15,34.67,54.9,41,
2025-04-09,江戸川,4,12:35,,2,浅見宗孝,B1,埼玉,4.77,27.16,5.15,32.61,57,27.37,36,38.04,55.0,52,
2025-04-09,江戸川,4,12:35,,3,山下拓巳,B1,兵庫,4.26,23.6,0.0,0.0,40,35.23,22,31.58,52.0,23,
2025-04-09,江戸川,4,12:35,,4,上原健次郎,B1,福岡,5.0,22.5,4.11,11.11,26,38.42,10,36.6,52.6,29,
2025-04-09,江戸川,4,12:35,,5,板橋侑我,A2,静岡,7.15,61.11,5.95,39.53,18,34.67,14,36.27,52.5,28,
2025-04-09,江戸川,4,12:35,,6,杉村賢也,B1,東京,5.08,32.39,4.83,28.3,68,39.2,35,38.73,52.0,35,
2025-04-09,江戸川,5,13:02,,1,宇野博之,B1,愛知,4.53,26.85,4.16,23.68,14,30.17,11,33.9,55.2,45,
2025-04-09,江戸川,5,13:02,,2,野村誠,A2,群馬,6.38,47.46,6.37,39.02,16,32.8,65,30.98,51.5,38,
2025-04-09,江戸川,5,13:02,,3,松本庸平,B1,三重,4.06,21.59,5.31,33.33,23,47.54,31,31.44,50.5,40,
2025-04-09,江戸川,5,13:02,,4,原田篤志,A1,山口,6.21,45.59,6.63,51.43,13,39.22,62,36.04,52.0,45,
2025-04-09,江戸川,5,13:02,,5,石岡将太,B1,群馬,5.08,34.65,5.18,42.42,62,32.02,40,43.06,56.8,36,
2025-04-09,江戸川,5,13:02,,6,沼田大都,B1,愛知,5.14,30.21,6.33,44.44,21,43.81,59,38.05,52.4,28,
2025-04-09,江戸川,6,13:29,,1,高橋勲,B1,東京,5.66,41.8,5.42,33.33,27,28.65,70,36.73,58.0,57,
2025-04-09,江戸川,6,13:29,,2,永松良教,B1,福岡,3.37,16.9,3.78,22.22,32,34.39,34,38.33,54.4,25,
2025-04-09,江戸川,6,13:29,,3,三川昂暁,A2,福岡,5.68,38.83,4.38,7.69,55,31.79,26,37.56,53.3,36,
2025-04-09,江戸川,6,13:29,,4,馬野耀,A1,大阪,5.51,29.76,5.38,37.5,50,30.85,32,34.29,53.8,31,
2025-04-09,江戸川,6,13:29,,5,豊田祥生,B1,静岡,3.19,13.13,2.13,0.0,61,46.31,51,36.56,50.5,23,
2025-04-09,江戸川,6,13:29,,6,山道諄也,B2,群馬,1.42,0.0,1.5,0.0,58,33.33,61,36.32,55.4,23,
2025-04-09,江戸川,7,13:56,,1,一色颯輝,B1,愛知,4.69,27.96,4.29,28.57,35,37.44,64,46.07,56.2,23,
2025-04-09,江戸川,7,13:56,,2,島田賢人,A1,埼玉,6.56,47.06,0.0,0.0,30,34.9,17,31.84,54.6,37,
2025-04-09,江戸川,7,13:56,,3,宮地博士,B1,長崎,4.31,17.78,4.14,28.57,20,32.49,66,30.1,53.4,46,
2025-04-09,江戸川,7,13:56,,4,佐藤世那,B2,東京,2.63,5.56,3.24,5.88,70,32.24,69,31.58,53.0,19,
2025-04-09,江戸川,7,13:56,,5,河内一馬,B2,愛知,2.47,2.56,2.68,4.0,12,38.46,12,31.28,55.1,24,
2025-04-09,江戸川,7,13:56,,6,浜先真範,A2,広島,7.16,52.46,6.94,52.94,64,27.06,56,39.9,52.2,31,
2025-04-09,江戸川,8,14:24,,1,山下流心,B1,広島,4.26,18.29,5.3,20.0,69,25.56,20,31.37,54.5,32,
2025-04-09,江戸川,8,14:24,,2,平瀬城啓,B1,福井,4.14,16.84,4.79,28.57,10,34.95,38,38.39,54.8,40,
2025-04-09,江戸川,8,14:24,,3,杉村賢也,B1,東京,5.08,32.39,4.83,28.3,68,39.2,35,38.73,52.0,35,
2025-04-09,江戸川,8,14:24,,4,平田健之佑,A1,三重,6.02,47.46,6.6,51.43,56,31.21,47,38.05,52.2,38,
2025-04-09,江戸川,8,14:24,,5,金子萌,A2,静岡,5.45,37.72,5.59,39.13,17,32.86,58,30.11,52.0,34,
2025-04-09,江戸川,8,14:24,,6,品川賢次,B1,群馬,4.44,26.47,4.79,22.81,33,34.2,43,28.77,54.0,51,
2025-04-09,江戸川,9,14:52,,1,江本真治,A2,山口,5.69,38.58,1.5,0.0,45,28.57,21,34.78,53.8,50,
2025-04-09,江戸川,9,14:52,,2,黒田剛,B1,福岡,3.18,15.0,3.43,14.29,49,31.63,54,30.0,52.1,24,
